country,indicator,value,Year
Burkina Faso,12 Month ART Retention Rate,79,2013
Cameroon,12 Month ART Retention Rate,81,2013
Côte d'Ivoire,12 Month ART Retention Rate,70,2014
Mauritania,12 Month ART Retention Rate,76,2014
Niger,12 Month ART Retention Rate,73,2014
Togo,12 Month ART Retention Rate,86,2014
